t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	100	300	1		4	3	18	35	30			587
0	100	300	2		7	3	20	35	26			615
0	100	300	3		5	4	31	33	24			576
24	100	300	1		7	1	27	26	22			762
24	100	300	2		10	2	20	32	20			745
24	100	300	3		6	6	15	28	22			782
48	100	300	1		6	8	36	28	15			694
48	100	300	2		14	4	28	40	14			655
48	100	300	3		10	7	30	29	21			684
72	100	300	1		7	5	29	19	17			434
72	100	300	2		10	7	15	22	20			480
72	100	300	3		4	8	18	22	20			459
96	100	100	1		22	15	27	20	9			597
96	100	100	2		20	13	30	15	10			600
96	100	100	3		19	10	25	28	9			767
118	100	30	1		23	9	30	25	7			821
118	100	30	2		25	14	23	26	7			744
118	100	30	3		32	10	24	26	13			725
164	100	5	1		5	3	15	30	25			621
164	100	5	2		6	3	18	31	20			667
164	100	5	3		17	1	21	30	18			637
188	100	5	1		7	4	10	24	11			419
188	100	5	2		4	3	12	17	14			368
188	100	5	3		5	0	12	20	14			355
214	100	2	1		11	6	16	36	16			639
214	100	2	2		8	6	20	37	11			643
214	100	2	3		15	4	12	39	17			688
236	100	2	1		9	0	7	16	8			410
236	100	2	2		10	2	8	22	8			386
236	100	2	3		4	1	10	21	8			370
260	100	1	1		15	2	6	16	10			553
260	100	1	2		8	1	4	19	9			535
260	100	1	3		8	2	10	19	6			585
332	1	100	1		6	1	4	13	14			228
332	1	100	2		6	2	5	14	11			241
332	1	100	3		6	4	4	15	13			186
356	1	100	1		5	1	2	5	10			120
356	1	100	2		2	0	5	13	9			157
356	1	100	3		5	2	1	7	6			134
380	1	10	1		28	3	20	21	8			925
380	1	10	2		28	6	14	28	7			957
380	1	10	3		31	6	14	11	9			984
