t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	2083	3	0	2	3	1	0	1
0	100	300	2	2026	6	0	2	1	1	0	0
0	100	300	3	1961	2	0	0	1	1	0	1
24	100	300	1	2118	4	0	2	2	4	0	2
24	100	300	2	2185	3	0	1	5	4	0	2
24	100	300	3	2179	4	0	3	3	3	1	3
50	100	300	1	2267	5	1	1	3	4	1	2
50	100	300	2	2246	3	0	0	1	1	0	2
50	100	300	3								
98	100	300	1	2047	5	2	2	0	0	0	2
98	100	300	2	2126	1	0	0	4	3	1	2
98	100	300	3	2059	3	1	0	3	4	1	3
123	100	300	1	1774	8	2	4	2	6	1	3
123	100	300	2	1866	3	3	3	5	6	2	3
123	100	300	3	1897	4	3	1	7	4	2	2
146	100	100	1	1858	27	22	11	6	5	4	0
146	100	100	2	1692	21	19	19	6	2	4	0
146	100	100	3	1933	32	14	15	5	3	3	0
172	100	100	1	51	0	0	1	0	0	0	0
172	100	100	2	47	1	0	0	0	0	1	0
172	100	100	3	49	1	1	0	0	1	0	0
194	100	20	1	27							
194	100	20	2	38							
194	100	20	3	39	2						
218	10	10	1	540	18	2	2	2	2	2	3
218	10	10	2	420	14	2	5	1	1	2	1
218	10	10	3								
245	20	1	1								
245	20	1	2	1126	12	3	1	1	0	1	2
245	20	1	3	1172	10	0	2	3	2	0	0
288	20	5	1	1269	2	0	1	1	0	1	1
288	20	5	2	1258	4	0	0	0	0	0	0
288	20	5	3	1282	9	2	2	1	0	0	2
