Strain	t 	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
101S	0	100	800	1	984	3							
101S	0	100	800	2	927	3	0	1					
101S	0	100	80	1	NA	24	4	1					
101S	0	100	160	1	NA	14	5	3					
101S	41.5	100	700	1	1129	2	1	2					
101S	90.8	100	700	1	941	3	4						1
101S	139.5	200	200	1	2	0	1						1
101S	188	100	1	1	41	2							
101S	217	20	1	1	16	2	1						
101S	261.5	5	1	1	11	0	0	1					
M1-2	0	100	800	1	1252	0	0						
M1-2	0	100	800	2	1325	4	0						
M1-2	0	100	80	1	NA	16	1	0					
M1-2	0	100	160	1	NA	10	1	0					
M1-2	41.5	100	700	1	1542	4	0	1					
M1-2	90.8	100	700	1	1397	2	3	1					
M1-2	139.5	200	300	1	1520	4	3	2					1
M1-2	188	100	400	1	50	2							
M1-2	217	10	20	1	931	85	21	13					6
M1-2	261.5	20	1	1	927	75	22	6					6
M13	0	100	800	1	896	2	0	1					
M13	0	100	800	2	891	2	0	0					
M13	0	100	80	1	NA	9	2	0					1
M13	0	100	160	1	NA	8	0	0					
M13	41.5	100	700	1	1154	6	1	0					
M13	90.8	100	700	1	1240	3	0	0					
M13	139.5	200	300	1	1402	3	1	0					
M13	188	100	600	1	732	6	2	0					
M13	261.5	100	600	1	7	0	0						
M13	307.25	100	5	1	639	218	27	3					2
M13	357	200	1	1	22	3							
M14	0	100	160	1	2406	17	2	1					
M14	0	100	160	2	2403	18	2	2					3
M14	0	100	80	1	NA	27	4	1					1
M14	41.5	100	140	1	1987	22	9	3					2
M14	90.8	100	140	1	1040	14	2						
M14	139.5	200	50	1	346	1	2	2					1
M14	188	100	600	1	37	3	2						
M14	217	200	1	1	296	52	31	25					12
M14	261.5	50	3	1	450	76	53	35					27
M14	307.25	20	1	1	1121	213	64	46					15
M2-8-1	0	100	800	1	924	10							
M2-8-1	0	100	800	2	870	4			2				
M2-8-1	0	100	80	1	NA	31	3						1
M2-8-1	0	100	160	1	NA	22	3	1					
M2-8-1	41.5	100	700	1	999	3							
M2-8-1	90.8	100	700	1	1061	5	0	1					
M2-8-1	139.5	200	200	1	15	1							
M2-8-1	188	100	10	1	7	0	1						
M2-8-1	188	100	1	1	51	3	4	1					
M2-8-1	217	20	1	1	65	2	1						
M2-8-1	261.5	20	1	1	2	1							
M2-8-2	0	100	800	1	933	3	1						
M2-8-2	0	100	800	2	991	7	0	0	1				
M2-8-2	0	100	80	1	NA	50	5						1
M2-8-2	0	100	160	1	NA	28	3	2	2				
M2-8-2	41.5	100	700	1	1018	5							
M2-8-2	90.8	100	700	1	959	5	0	1					1
M2-8-2	139.5	199	200	1	6	2							
M2-8-2	188	100	10	1	3	0							
M2-8-2	188	100	1	1	27	1	1						
M2-8-2	217	20	1	1	6	1							
M32	0	100	800	1	1373	23	4	2	1	2	1	0	0
M32	0	100	800	2	1313	16	1	0	1	0	0	0	0
M32	0	100	80	1									
M32	0	100	160	1	NA	108	5	3					
M32	41.5	100	700	1	1636	22							
M32	90.8	100	700	1	1668	20	1	2					
M32	139.5	199	300	1	2055	39	5	2					2
M32	188	100	400	1	475	21	11	8					4
M32	217	100	400	1	59	0	3	4					1
M32	261.5	100	10	1	360	35	19	7					4
M34	0	100	800	1	860	2	1						
M34	0	100	800	2	873	6							
M34	0	100	80	1	NA	28	3						
M34	0	100	160	1	NA	26	5	1					
M34	41.5	100	700	1	1021	8	1						
M34	90.8	100	700	1	991	5	1	2					
M34	139.5	199	300	1	1214	13	6	1					
M34	188	100	400	1	1008	27	11	8					3
M34	217	100	400	1	417	27	23	2					2
M34	261.5	100	10	1	1651	351	55	20					18
M34	307.25	100	4	1	1237	395	23						
M34	357	50	4	1	518	218	16	5					1
M5	0	100	800	1	684	2	1						
M5	0	100	800	2	632	1	1						
M5	0	100	80	1	NA	3	1			1			
M5	0	100	160	1	NA	3	0	1					
M5	41.5	100	700	1	698	0	0	1					
M5	90.8	100	700	1	682	1	1						
M5	139.5	199	300	1	342	3	3	2					
M5	188	100	10	1	52	3	0	3					1
M5	188	100	1	1	472	21	18	2					1
M5	217	10	20	1	107	9	0	2					
M5	217	10	2	1	1031	73	11	7					6
M5	261.5	20	1	1	727	74	14	6					
M8	0	100	800	1	1437	15	0	1	1				
M8	0	100	800	2	1514	12	1	1	3				
M8	0	100	80	1	NA	114	4	5					
M8	0	100	160	1	NA	46	2	2					
M8	41.5	100	700	1	1667	6							
M8	90.8	100	700	1	1643	13	3	1					
M8	139.5	199	300	1	1849	17	2	1					1
M8	188	100	400	1	2747	25	10	7					1
M8	217	100	400	1	1952	25	10	9					4
M8	261.5	100	400	1	500	4	0	1					
M8	307.25	100	4	1	1900	186	11	3					
YPS128	0	100	800	1	1502	30	2	0	1				
YPS128	0	100	800	2	1421	38	2	0					
YPS128	0	100	80	1	NA								
YPS128	0	100	160	1	NA	194	59	17					10
YPS128	41.5	100	700	1	1907	46	16	6					1
YPS128	90.8	100	700	1	2058	42	18	8					3
YPS128	429	50	1	1	27	2	1	5					3
YPS128	503	10	1	1	5	2	0	1					
YPS163	0	100	800	1	1670	14	1			1			
YPS163	0	100	800	2	1740	8	0						
YPS163	0	100	80	1	NA	130	46	16					
YPS163	0	100	160	1	NA	84	47	25					10
YPS163	41.5	100	700	1	1822	33	22	5					5
YPS163	90.8	100	700	1	1762	17	18	6					4
YPS163	261.5	100	400	1	47	4	2	2					3
YPS163	357	200	4	1	1574	178	24	9					6
YPS163	429	50	20	1	223	32	2						
