Strain	Tc	wc	Tg	wg	b.min	b.max	b0	half.0.raw
101S	4.70508960262987	12	7.45016165330513	12	0.00176366843033510	0.105263157894737	0.00581727522983431	0.000727159403729289
M1-2	7.17089794536463	17	7.83333333333333	17	0.00142551674982181	0.0804924242424242	0.00294015242369144	0.000116058648303609
M13	9.59091206413375	17	11.5410906330189	17	0.00213371266002845	0.245219347581552	0.00362157343436595	0.000111433028749721
M14	4.03035597285349	5	7.42321711030252	5	0.00284090909090909	0.145990404386566	0.00995790986551689	0.00123190637511549
M2-8-1	5.19382109508838	10	9.06493943052315	10	0.00299401197604790	0.333333333333333	0.0118216308352120	0.000494858965194919
M2-8-2	5.10850615598212	10	4.50035537438229	10	0.00488758553274682	0.25	0.0105716924971775	0.00107769680796469
M32	8.26035312375861	6	7.83333333333333	6	0.0118273211117682	0.0823529411764706	0.0219549308021158	0.00217375552496196
M34	9.50730796151184	10	10.2710870305699	10	0.005005005005005	0.287598944591029	0.00913502711961176	0.00131316014844419
M5	5.92303418013372	20	7.83333333333333	20	0.00146198830409357	0.0901339829476248	0.00249716231555051	0.00158910329171396
M8	11.0444991870693	10	10.8958333333333	10	0.00358637178720861	0.0885714285714286	0.0158281514980215	0.000598543544042829
YPS128	10.950448517577	5	13.9931717792521	5	0.0197275716298732	0.25	0.0349934469200524	0.00517693315858454
YPS163	7.92714428302614	5	10.8958333333333	5	0.00940785832872164	0.124513618677043	0.0148577329050023	0.00430243230839835
