t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	100	1	2660	27	7	1	3	3	2	1
0	100	100	2	2628	22	4	4	3	3	2	1
0	100	100	3	2592	22	3	6	2	2	2	6
23	100	100	1	2484	26	6	5	7	2	5	3
23	100	100	2	2375	24	9	3	5	5	5	5
23	100	100	3	2455	19	3	1	1	1	3	6
47	100	100	1	2143	22	1	1	2	3	2	2
47	100	100	2	2230	23	2	7	4	4	1	3
47	100	100	3	2317	27	3	3	4	2	2	3
71	100	100	1	1646	16	2	1	5	7	4	4
71	100	100	2	1343	17	4	3	1	9	4	6
71	100	100	3	1668	23	5	4	1	4	2	5
96	100	50	1	1417	32	21	6	6	2	11	4
96	100	50	2	1523	35	24	9	3	2	12	3
96	100	50	3	1410	37	17	8	3	3	7	2
119	100	50	1	152	7	4	2	0	1	4	1
119	100	50	2	157	11	4	1	0	2	2	1
119	100	50	3	165	12	1	2	0	3	3	2
143	100	1	1	878	42	20	9	5	5	2	2
143	100	1	2	781	43	14	9	3	3	4	2
143	100	1	3	860	34	10	4	3	4	7	2
167	100	1	1	246	12	3	1	1	0	1	0
167	100	1	2	232	9	1	2	0	0	0	2
167	100	1	3	205	10	9	0	0	0	1	0
191	20	1	1	370	25	6	5	0	1	4	3
191	20	1	2	359	21	9	5	2	2	2	2
191	20	1	3	416	36	8	7	1	2	6	2
215	1	10	1	404	9	3	0	1	0	0	0
215	1	10	2	403	11	2	1	0	1	1	0
215	1	10	3	417	12	2	1	0	1	2	0
311	1	200	1	3154	22	3	3	5	2	1	7
311	1	200	2	3120	19	6	2	5	7	1	7
311	1	200	3	3143	28	5	2	2	4	4	4
342	50	10	1	1270	3	2	2	3	3	1	4
342	50	10	2	1212	14	3	0	3	6	1	3
342	50	10	3	1222	11	4	2	6	3	0	4
