t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	100	1	2316	5	2	0	0	1	0	0
0	100	100	2	2318	6	3	1	0	1	0	1
0	100	100	3	2330	7	2	0	0	1	1	1
24	100	100	1	2310	9	5	0	2	5	1	7
24	100	100	2	2178	8	7	1	2	3	0	5
24	100	100	3	2220	4	3	4	2	6	0	4
48	100	100	1	2397	12	3	3	2	4	1	4
48	100	100	2	2428	6	3	4	0	1	0	3
48	100	100	3	2361	5	5	2	2	3	0	3
72	100	100	1	1927	3	3	1	2	1	0	2
72	100	100	2	1970	8	3	2	3	1	0	2
72	100	100	3	1949	4	8	2	2	0	0	4
96	100	100	1	1693	5	6	1	1	2	1	0
96	100	100	2	1631	5	3	3	1	1	0	1
96	100	100	3	1487	5	7	4	1	0	1	0
118	100	30	1	1702	8	21	5	0	2	2	4
118	100	30	2	1486	11	15	8	3	0	3	2
118	100	30	3	1447	8	12	4	3	2	1	3
164	100	10	1	151	5	1	0	0	1	0	0
164	100	10	2	186	3	3	1	0	0	1	1
164	100	10	3	187	4	2	0	1	0	0	2
188	100	5	1	444	2	0	1	1	0	1	2
188	100	5	2	419	2	1	1	0	0	0	0
188	100	5	3	458	2	0	0	1	0	0	3
214	1	90	1	3594	22	0	0	6	2	0	6
214	1	90	2	3575	20	3	0	2	1	0	4
214	1	90	3	3574	26	2	1	1	0	0	5
236	1	90	1	4735	28	9	2	3	1	1	1
236	1	90	2	4787	35	6	5	0	0	0	2
236	1	90	3	4421	25	2	3	1	0	0	2
260	1	100	1	4440	23	2	3	2	2	0	2
260	1	100	2	4290	21	5	3	4	2	1	5
260	1	100	3	4395	28	6	4	2	1	0	4
332	1	100	1	3524	20	9	3	3	1	0	2
332	1	100	2	3617	26	4	5	3	3	2	3
332	1	100	3	3682	20	16	4	1	3	1	2
356	1	100	1	3320	19	4	4	2	3	1	2
356	1	100	2	3491	27	6	3	1	1	0	2
356	1	100	3	3454	19	6	4	3	2	2	3
380	1	100	1	3473	21	4	5	2	3	2	3
380	1	100	2	3449	20	11	2	1	1	4	4
380	1	100	3	3629	22	2	2	5	3	1	3
