t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	700	1	1695	3	2	0	0	0	0	0
0	100	700	2	1750	2	0	1	0	0	0	0
0	100	700	3	1671	4	2	0	1	0	0	0
24	100	700	1	1511	31	9	3	2	0	4	2
24	100	700	2	1438	26	12	4	0	1	6	1
24	100	700	3	1534	30	13	1	0	0	7	0
48	100	700	1	1529	12	10	2	0	0	5	0
48	100	700	2	1482	11	9	2	2	2	1	0
48	100	700	3	1561	15	6	7	0	0	2	1
72	100	700	1	1576	13	12	5	3	1	5	0
72	100	700	2	1595	5	13	4	1	0	3	0
72	100	700	3	1569	9	16	1	2	0	5	0
120	100	300	1	3318	9	35	11	2	0	11	0
120	100	300	2	3348	12	29	12	2	0	8	0
120	100	300	3	3310	10	34	9	2	0	10	0
144	100	300	1	2694	19	51	15	2	0	8	1
144	100	300	2	2646	25	67	21	2	0	14	0
144	100	300	3	2674	18	70	18	7	0	14	0
168	100	300	1	1554	22	41	10	2	2	12	0
168	100	300	2	1615	22	40	12	2	4	23	2
168	100	300	3	1681	29	35	14	6	2	18	0
192	100	300	1	1077	25	33	9	2	1	20	0
192	100	300	2	1041	31	36	15	6	1	10	0
192	100	300	3	1032	17	25	11	4	0	19	0
215	100	200	1	744	37	34	9	6	3	6	0
215	100	200	2	457	33	14	4	3	0	10	0
215	100	200	3	693	33	23	12	6	0	3	0
240	100	50	1	850	42	46	14	9	3	20	2
240	100	50	2	823	50	34	32	10	3	24	4
240	100	50	3	840	66	30	21	9	5	26	2
264	100	10	1	410	46	24	14	10	5	21	3
264	100	10	2	425	48	27	20	6	7	25	1
264	100	10	3	460	43	27	23	11	0	32	4
290	100	50	1	204	46	10	16	7	3	26	2
290	100	50	2	207	46	19	17	7	3	29	2
290	100	50	3	198	58	21	15	3	3	21	1
