t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	700	1	1488	7	0	1	0	0	0	0
0	100	700	2	1414	5	0	0	0	1	0	1
0	100	700	3	1418	3	2	2	0	1	0	0
24	100	700	1	1619	5	0	0	1	3	0	0
24	100	700	2	1624	7	0	1	2	2	1	0
24	100	700	3	1627	8	1	1	2	0	0	2
48	100	700	1	1450	4	1	0	1	0	0	0
48	100	700	2	1483	2	0	0	1	1	1	1
48	100	700	3	1437	3	0	1	0	0	1	0
72	100	300	1	1486	14	9	8	1	2	8	0
72	100	300	2	1486	14	19	4	5	1	8	0
72	100	300	3	1503	18	18	3	1	2	9	0
95	100	100	1	19	2	2	2	0	0	0	0
95	100	100	2	17	1	1	0	0	0	1	0
95	100	100	3	13	1	0	1	0	0	2	0
119	100	100	1	2	2	0	1	0	0	0	0
119	100	100	2	0	1	0	0	0	0	0	0
119	100	100	3	0	0	1	0	0	0	0	0
143	100	1	1	61	56	4	4	2	1	13	0
143	100	1	2	62	56	8	3	1	2	12	0
143	100	1	3	70	52	3	3	2	4	11	1
167	1	1	1	241	206	11	10	2	4	32	0
167	1	1	2	225	195	10	5	8	2	26	0
167	1	1	3	216	187	8	8	5	1	20	3
