t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
0	100	100	3	640	80	3	5					3
0	100	100	1	645	65	4	4					
0	100	100	2	678	60	10	4					4
15.5	100	50	1	1025	107	9	17					5
15.5	100	50	2	1035	110	9	12	1				4
38.2	100	50	1	843	139	9	16					
86	100	50	1	266	59	2	1					1
86	100	10	1	899	290	7	3					
110.67	100	20	1	397	111	3	1					1
136.08	100	10	1	593	152	9	3					
161.5	50	10	1	802	152	2	4					2
185.5	50	5	1	1349	368	6	6					2
210	50	5	1	1150	289	4	4					1
262	50	2	1	1912	395	8	4					3
336	50	1	1	2657	625	13	8					2
354.5	50	1	1	2065	488	10	8					4
