t 	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
0	100	100	1	590	112	3	6					
0	100	100	2	544	126	4	2					2
47.7	100	40	1	1136	140	3						
47.7	100	40	2	843	140	3						
47.7	100	40	3	992	109	1						
71	50	80	1	628	91							
71	50	80	2	625	91	1						
71	50	80	3	786	75	0						
96	50	80	1	578	115	4	2					
96	50	80	2	559	101	1	2					
96	50	80	3	462	89	2	2					
125	50	80	1	653	97	0	0					
125	50	80	2	739	111	1	0					
125	50	80	3	625	99	4	2					
169.5	100	10	1	1007	187	9	1					
215.25	100	4	1	1097	343	4	1					
215.25	100	4	2	1097	328	3						
265	100	6	1	348	152	8	7					
265	100	6	2	386	144	6	6					
288.25	100	8	1	204	72	3	9					
288.25	100	8	2	196	89	5	3					
288.25	100	8	3	386	171	5	8					2
339	100	2	1	386	136	10	0					
339	100	2	2	368	116	4	3					1
339	100	2	3	391	104	5	0					1
432	50	2	1	324	56	2	0					
432	50	2	2	301	46	1	0					
432	50	2	3	330	49	4	1					
