t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	1245	9	2	2	2	2	0	1
0	100	300	2	1241	11	2	1	3	1	0	1
0	100	300	3	1206	12	1	2	1	1	0	0
24	100	300	1	1179	8	3	0	0	0	0	0
24	100	300	2	1205	8	1	2	0	0	0	0
24	100	300	3	1208	7	2	0	1	0	0	0
48	100	300	1	1139	5	0	2	2	1	0	3
48	100	300	2	1216	8	3	0	0	0	1	2
48	100	300	3	1158	3	0	0	1	1	0	2
72	100	300	1	1180	6	1	0	1	2	0	0
72	100	300	2	1185	9	3	2	3	0	0	0
72	100	300	3	1207	8	2	0	1	3	1	0
120	100	300	1	939	10	4	1	0	0	1	1
120	100	300	2	967	3	2	0	1	1	1	2
120	100	300	3	1013	7	2	0	2	0	3	0
144	100	50	1	360	7	9	1	0	1	0	0
144	100	50	2	438	6	11	6	3	0	5	0
144	100	50	3	301	4	13	5	1	0	4	1
168	100	30	1	3	2	0	0	0	0	0	0
168	100	30	2	4	0	0	0	0	0	0	0
168	100	30	3	0	0	0	0	0	0	0	0
192	100	5	1	16	5	0	0	0	0	0	0
192	100	5	2	28	4	0	0	0	0	0	0
192	100	5	3	17	4	0	0	0	0	0	0
215	1	50	1	87	17	0	1	0	0	0	0
215	1	50	2	86	13	0	0	0	0	0	0
215	1	50	3	108	15	0	0	0	0	0	0
240	1	10	1	1147	188	9	3	4	0	0	0
240	1	10	2	1199	169	7	3	3	0	0	2
240	1	10	3	1212	173	7	4	2	1	4	1
