SGU57.t	SGU57	RM11.t	RM11	YPS128a.t	YPS128a	YPS128b.t	YPS128b
0	1	0	1	0	1	0	1
22	1.172839506	22	0.93877551	24	1.086294416	24	0.910472973
46	1.045953361	46	0.908163265	48	1.116751269	48	0.587837838
70	1.054526749	70	0.806122449	72	0.802030457	72	0.871621622
94	1.217421125	94	0.908163265	96	0.304568528	96	0.131756757
165	0.900205761	165	0.826530612	118	0.030456853	120	0
189	0.754458162	189	0.887755102	166	0.002256063	158	1.88E-05
213	0.540123457	213	0.826530612	190	0.001395939	214	0.007474662
238	0.042866941	238	0.693877551	214	0.001318387	239	0.007094595
262	0.00308642	262	0.653061224	240	0.002573322	262.5	0.006897523
285	0	285	0.653061224	265	0.002538071	NA	NA
NA	NA	314	0.469387755	NA	NA	NA	NA
NA	NA	334	0.356326531	NA	NA	NA	NA
NA	NA	360	0.345306122	NA	NA	NA	NA
NA	NA	385	0.132244898	NA	NA	NA	NA
NA	NA	409	0.095510204	NA	NA	NA	NA
NA	NA	433	0.073469388	NA	NA	NA	NA
