t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	1.5e+07	160000	1e+05	690000	1030000	8e+05	NA	NA	17780000
24	20450000	230000	90000	620000	860000	640000	NA	NA	22890000
48	17430000	3e+05	190000	940000	970000	5e+05	NA	NA	20330000
72	11500000	210000	2e+05	620000	630000	570000	NA	NA	13730000
96	5640000	203333.333333333	126666.666666667	273333.333333333	210000	93333.3333333333	NA	NA	6546666.66666667
118	1996000	80000	33000	77000	77000	27000	NA	NA	2290000
164	280333.333333333	4666.66666666667	1166.66666666667	9000	15166.6666666667	10500	NA	NA	320833.333333333
188	164166.666666667	2666.66666666667	1166.66666666667	5666.66666666667	10166.6666666667	6500	NA	NA	190333.333333333
214	114400	2266.66666666667	1066.66666666667	3200	7466.66666666667	2933.33333333333	NA	NA	131333.333333333
236	68800	1533.33333333333	200	1666.66666666667	3933.33333333333	1600	NA	NA	77733.3333333333
260	51266.6666666667	1033.33333333333	166.666666666667	666.666666666667	1800	833.333333333333	NA	NA	55766.6666666667
332	17900	600	233.333333333333	433.333333333333	1400	1266.66666666667	NA	NA	21833.3333333333
356	11266.6666666667	400	100	266.666666666667	833.333333333333	833.333333333333	NA	NA	13700
380	8773.33333333333	290	50	160	200	80	NA	NA	9553.33333333333
