t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	36920000	320000	50000	50000	60000	40000	0	20000	37460000
24	35920000	230000	60000	20000	10000	0	0	0	36240000
48	35130000	160000	30000	20000	30000	20000	10000	70000	35470000
72	35720000	230000	60000	20000	50000	50000	10000	0	36140000
120	29190000	2e+05	80000	10000	30000	10000	50000	30000	29600000
144	1831666.66666667	28333.3333333333	55000	20000	6666.66666666667	1666.66666666667	15000	1666.66666666667	1960000
168	7000	2000	0	0	0	0	0	0	9000
192	10166.6666666667	2166.66666666667	0	0	0	0	0	0	12333.3333333333
215	4683.33333333333	750	0	16.6666666666667	0	0	0	0	5450
240	11860	1766.66666666667	76.6666666666667	33.3333333333333	30	3.33333333333333	13.3333333333333	10	13793.3333333333
