t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	23213333.3333333	60000	23333.3333333333	3333.33333333333	0	10000	3333.33333333333	6666.66666666667	23320000
24	22360000	70000	50000	16666.6666666667	20000	46666.6666666667	3333.33333333333	53333.3333333333	22620000
48	23953333.3333333	76666.6666666667	36666.6666666667	30000	13333.3333333333	26666.6666666667	3333.33333333333	33333.3333333333	24173333.3333333
72	19486666.6666667	50000	46666.6666666667	16666.6666666667	23333.3333333333	6666.66666666667	0	26666.6666666667	19656666.6666667
96	16036666.6666667	50000	53333.3333333333	26666.6666666667	10000	10000	6666.66666666667	3333.33333333333	16196666.6666667
118	4635000	27000	48000	17000	6000	4000	6000	9000	4752000
164	174666.666666667	4000	2000	333.333333333333	333.333333333333	333.333333333333	333.333333333333	1000	183000
188	220166.666666667	1000	166.666666666667	333.333333333333	333.333333333333	0	166.666666666667	833.333333333333	223000
214	322290	2040	150	30	270	90	0	450	325320
236	418290	2640	510	300	120	30	30	150	422070
260	437500	2400	433.333333333333	333.333333333333	266.666666666667	166.666666666667	33.3333333333333	366.666666666667	441500
332	360766.666666667	2200	966.666666666667	400	233.333333333333	233.333333333333	100	233.333333333333	365133.333333333
356	342166.666666667	2166.66666666667	533.333333333333	366.666666666667	200	200	100	233.333333333333	345966.666666667
380	351700	2100	566.666666666667	300	266.666666666667	233.333333333333	233.333333333333	333.333333333333	355733.333333333
