t	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	total
0	26266666.6666667	236666.666666667	46666.6666666667	36666.6666666667	26666.6666666667	26666.6666666667	20000	26666.6666666667	26686666.6666667
23	24380000	230000	60000	30000	43333.3333333333	26666.6666666667	43333.3333333333	46666.6666666667	24860000
47	22300000	240000	20000	36666.6666666667	33333.3333333333	30000	16666.6666666667	26666.6666666667	22703333.3333333
71	15523333.3333333	186666.666666667	36666.6666666667	26666.6666666667	23333.3333333333	66666.6666666667	33333.3333333333	50000	15946666.6666667
96	7250000	173333.333333333	103333.333333333	38333.3333333333	20000	11666.6666666667	50000	15000	7661666.66666667
119	790000	50000	15000	8333.33333333333	0	10000	15000	6666.66666666667	895000
143	83966.6666666667	3966.66666666667	1466.66666666667	733.333333333333	366.666666666667	400	433.333333333333	200	91533.3333333333
167	22766.6666666667	1033.33333333333	433.333333333333	100	33.3333333333333	0	66.6666666666667	66.6666666666667	24500
191	7633.33333333333	546.666666666667	153.333333333333	113.333333333333	20	33.3333333333333	80	46.6666666666667	8626.66666666667
215	4080	106.666666666667	23.3333333333333	6.66666666666667	3.33333333333333	6.66666666666667	10	0	4236.66666666667
311	627800	4600	933.333333333333	466.666666666667	800	866.666666666667	400	1200	637066.666666667
342	617333.333333333	4666.66666666667	1500	666.666666666667	2000	2000	333.333333333333	1833.33333333333	630333.333333333
