t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
0	100	100	1	4934	31	4	3	4	2	1	3	0
0	100	100	2	5093	30	2	3	1	2	1	4	0
24	100	900	1	617	2	4	1	1	0	0	0	1
24	100	900	2	592	5	4	1	0	1	0	0	0
47	100	900	2	524	7	4	0	1	4	1	3	0
72	100	900	2	583	1	0	0	1	5	1	3	1
96.5	100	625	1	741	6	1	2	1	4	2	6	0
119.5	100	625	1	767	11	2	2	5	6	1	7	3
119.5	100	625	2	749	5	5	5	4	1	4	2	1
142.67	100	625	1	656	13	4	6	2	0	4	0	5
166.5	100	225	1	1135	20	7	4	10	3	6	0	9
215.17	100	100	1	1115	38	22	12	3	0	2	0	16
240.6	100	50	1	1522	52	21	24	0	0	4	0	10
266	100	40	1	1219	79	26	14	6	0	1	0	5
