t	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny
0	100	300	1	2104	8	3	6	4	2	5	2
0	100	300	2	2069	16	1	4	1	3	3	2
0	100	300	3	2115	13	3	2	7	0	4	2
24	100	300	1	2139	7	2	2	4	1	0	1
24	100	300	2	2211	17	2	1	2	0	0	1
24	100	300	3	2203	7	4	2	0	0	1	1
48	100	300	1	2186	11	1	2	3	1	1	0
48	100	300	2	2131	7	3	0	2	0	0	0
48	100	300	3	2072	19	0	0	2	1	2	0
100	100	300	1	2129	12	4	2	4	0	3	0
100	100	300	2	2046	10	4	1	3	0	2	1
100	100	300	3	2110	15	0	1	2	1	1	0
123	100	300	1	2076	10	3	0	0	0	0	0
123	100	300	2	2028	14	1	0	1	0	2	1
123	100	300	3	2063	13	3	2	1	1	1	0
145	100	300	1	1869	9	1	0	2	3	1	1
145	100	300	2	1846	4	2	1	2	0	3	0
145	100	300	3	1729	14	5	5	3	1	3	1
169	100	100	1	5291	30	10	1	2	0	3	0
169	100	100	2	4982	36	22	5	5	0	4	0
169	100	100	3	5478	40	16	3	2	0	5	0
193	100	100	1	5114	35	30	8	3	0	7	0
193	100	100	2	5063	36	27	5	5	0	7	1
193	100	100	3	5030	40	28	8	4	0	12	0
218	100	100	1	4994	43	34	13	3	0	20	0
218	100	100	2	4900	33	43	13	5	0	18	0
218	100	100	3	5265	45	38	18	2	1	14	0
243	100	100	1	4386	45	40	13	6	4	16	0
243	100	100	2	4130	45	28	16	5	0	11	0
243	100	100	3	4388	56	22	7	3	0	18	0
270	100	100	3	4205	44	58	16	4	3	11	0
292	100	100	3	3805	63	39	17	3	1	32	0
315	100	100	3	2764	50	36	11	6	1	20	0
337	100	200	1	1751	32	34	12	2	1	15	0
337	100	200	2	1511	20	29	12	2	1	13	0
337	100	200	3	1667	32	22	11	3	0	15	0
362	100	200	3	1569	30	31	13	3	1	23	0
388	100	200	2	1401	35	29	10	7	1	7	0
388	100	200	3	1458	21	30	11	9	2	11	0
434	100	200	2	1290	35	36	22	10	0	21	0
434	100	200	3	1308	38	30	8	4	2	14	1
479	100	100	1	2049	49	62	16	9	0	19	0
479	100	100	2	1990	66	64	22	5	1	17	0
479	100	100	3	1995	48	53	21	6	0	17	0
530	100	100	1	1749	56	47	18	5	1	15	0
530	100	100	2	1859	45	41	15	4	0	16	0
530	100	100	3	2052	67	48	19	8	1	17	0
578	100	100	1	1703	51	54	28	8	5	19	0
578	100	100	2	1613	47	38	23	7	1	28	0
578	100	100	3	1711	71	52	29	4	1	25	0
624	100	100	1	1296	53	39	14	2	3	24	0
624	100	100	2	1322	55	31	19	8	2	22	0
624	100	100	3	1447	46	46	23	6	2	15	0
674	100	100	1	1198	37	32	16	3	3	8	0
674	100	100	2	1243	37	29	12	4	0	21	0
674	100	100	3	1204	35	24	16	4	1	11	0
720	100	100	1	1012	23	19	9	0	0	3	0
720	100	100	2	987	22	17	5	3	1	3	0
720	100	100	3	1082	20	21	7	3	1	2	0
792	100	50	1	1172	45	22	9	3		10	
792	100	50	2	856	26	17	8	3		6	
792	100	50	3	1301	43	25	14	5		9	1
864	100	50	1	790	43	22	16	3	2	7	
864	100	50	2	603	34	15	10	2	2	11	3
864	100	50	3	1037	31	19	9	4	2	13	
916	100	20	1	1892	48	23	8	5		13	
916	100	20	2	1926	40	20	10	3	1	8	
916	100	20	3	1766	44	18	22	2	1	7	
