Strain	t 	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
101S	0	100	700	1	1215	6	0	0	2	0	0	3	0
101S	0	100	700	2	1109	3	1	0	2	0	0	3	0
101S	0	100	700	3	1176	3	0	0	1	1	0	0	0
101S	24	100	700	1	1093	3	0	1	3			1	
101S	48	100	600	1	1323	5	0	0	0	1			
101S	72	100	600	1	1355	2	0	2	2	4		2	
101S	94	100	600	1	1102	2	1	2	2	3	0	1	0
101S	117	100	300	1	576	5	2	1	0	1			2
101S	144	100	300	1	48	1	0	1					
101S	165	100	100	1	104	1							1
101S	189	100	10	1	784	1	2	1				1	1
101S	215	100	5	1	547	10	17	1	2	1	2	0	0
101S	240	100	5	1	15		1						
101S	286	5	1	1	14								
101S	334	1	1	1	3	4							
M1-2	0	100	700	1	1156	2	0	6	8	8	1	3	0
M1-2	0	100	700	2	1126	6	0	5	6	8	2	7	0
M1-2	0	100	700	3	1137	1	1	5	15	10	0	2	0
M1-2	24	100	700	1	1213	3	1	2	13	6	2	8	0
M1-2	48	100	600	1	1337	6	0	2	12	4	1	6	0
M1-2	72	100	600	1	1452	8	1	2	6	8	1	5	0
M1-2	94	100	600	1	1318	2	2	0	3	5	1	7	1
M1-2	117	100	600	1	1278	5	3	1	4	6	0	5	0
M1-2	144	100	600	1	1109	3	1	2	7	2	2	2	1
M1-2	165	100	500	1	437	5			2	6	1	4	0
M1-2	189	100	500	1	105	1	1	0	0	1	0	1	
M1-2	215	100	200	1	86	0	1	0	0	1	0	1	
M1-2	240	100	30	1	364	1	0	0	2	3	0	4	2
M1-2	286	100	5	1	1448	4	0	1	1	5	1	3	1
M1-2	334	20	5	1	2288	8	4	4	3	3	1	3	1
M1-2	334	20	20	1	574	10	1						
M1-2	382	20	10	1	164	6	0	2					
M1-2	382	20	1	1	1767	12	12	5	6	4	3	1	4
M1-2	430	20	1	1	3000	15	9	3	2	2	3	1	5
M13	0	100	700	1	1066	2	1	0	0	0	0	0	0
M13	0	100	700	2	1117	0	0	1	0	0	0	1	0
M13	0	100	700	3	1027	2	0	0	0	0	0	3	0
M13	24	100	700	1	1065	5	0	0	0	1	0	1	0
M13	48	100	600	1	1350	0	1	0	2	0	0	0	0
M13	72	100	600	1	1231	3						1	
M13	94	100	600	1	880	5	1	0	2				
M13	117	100	600	1	1292	3				1		1	
M13	144	100	600	1	2223	6				1			1
M13	165	100	500	1	1030	2	0	1	0	1	0	1	
M13	189	100	500	1	656	3	2	2		1	0	0	0
M13	215	100	300	1	141	0	0	1	0	0	0	1	0
M13	240	100	200	1	76								
M13	286	100	5	1	195	15	0	2	1	0	1		
M13	334	10	5	1	341	52	4	1	0	0	2	0	1
M13	382	1	5	1	865	101	2	2					2
M13	382	20	1	1	235	56							
M13	430	1	5	1	737	102	2						2
M13	628	5	1	1	6000								
M14	0	100	700	1	557	4	0	0	0	3	0	3	0
M14	0	100	700	2	569	1	0	0	2	2	1	1	0
M14	0	100	700	3	537	6	0	0	1	2	1	0	0
M14	24	100	700	1	470	7			1	1		3	1
M14	48	100	300	1	932	12	2	2	4	1	1	2	0
M14	72	100	300	1	804	6	4	2	3	0	1	2	0
M14	94	100	300	1	590	4	2	1	0	0	1	3	0
M14	117	100	100	1	426	3	1	1	1				2
M14	144	100	600	1	19								
M14	165	100	20	1	112	1	1	1					
M14	189	50	1	1	3471	162	28	15	5	0	12	0	15
M14	240	100	1	1									
M14	286	100	1	1	1408	240	75	0	0	0	0	0	39
M2-8	0	100	700	1	611	2	0	1		0		1	
M2-8	0	100	700	2	540	1	1	1		2		1	
M2-8	0	100	700	3	589	2	0	0		0			
M2-8	24	100	700	1	686	3	2	0	1			1	
M2-8	48	100	300	1	1343	3	2	1				1	
M2-8	72	100	300	1	878	2	2	0	2	1			
M2-8	94	100	100	1	493	8	4	1	0	1	0	3	5
M2-8	117	100	100	1	0								
M2-8	144	100	20	1	1								
M2-8	165	10	1	1	35	0	1	1	1				1
M2-8	189	1	1	1	291	3	9	1	1				3
M2-8	215	1	1	1	1420	2	0	1	2	1	2	1	1
M2-8	286	100	1	1	1177	1	0	0	5	1	0	4	0
M2-8	334	20	5	1	1390	10	6	2	1	2	0	0	0
M2-8	382	20	5	1	1667	2	12	4	1	1	0	3	0
M2-8	430	20	5	1	3552	11	6	4	2	1	1	4	0
M32	0	100	700	1	1814	25	1	1	8	8	0	4	
M32	0	100	700	2	1814	23	2	0	6	6	0	5	
M32	0	100	700	3	1930	20	2	6	8	3	2	4	
M32	24	100	700	1	1872	21	0	3	4	4	1	8	
M32	48	100	600	1	2193	26	2	3	6	4	2	4	
M32	72	100	600	1	2142	24	3	1	15	9	1	9	
M32	94	100	600	1	1945	23	0	3	10	18	0	9	
M32	117	100	600	1	2211	23	2	3	14	10	1	12	
M32	144	100	600	1	1918	27	2	6	25	22	6	12	1
M32	165	100	500	1	2089	24	7	9	19	15	3	9	1
M32	189	100	500	1	1783	18	12	7	15	5	5	12	4
M32	215	100	500	1	1085	11	6	2	11	10	2	18	1
M32	240	100	500	1	715	14	2	2	8	14	3	11	
M32	286	100	100	1	1928	22	4	7	5	12	3	7	
M32	334	100	100	1	1380	18	2	0	8	5	1	5	
M32	382	100	100	1	856	12	1	1	6	2	1	6	2
M32	430	100	50	1	1273	17	1	4	0	4	0	2	2
M32	503.5	100	50	1	549	12	2						
M32	503.5	100	10	1	2388	49	12	3					
M32	628	100	10	1	1309	22	7	2					
M32	690.5	100	10	1	935	19	2	5					
M5	0	100	700	1	1473	2	0	2	0	0	1	0	0
M5	0	100	700	2	1417	3	2	0	0	0	0	1	0
M5	0	100	700	3	1532	5	2	0	1	1	0	1	0
M5	24	100	700	1	6	2	0	1	1	0			
M5	48	100	600	1	1791	8							
M5	72	100	600	1	1792	5	1	0	2	0			1
M5	94	100	600	1	1667	1	0	1	0	1	1		
M5	117	100	600	1	1806	5	0	0	1	1	0	1	
M5	144	100	300	1	2439	15	18	8	2	1	2		2
M5	165	100	500	1	315	4	9	5	0	1	0	1	1
M5	189	100	500	1	42	0	1	1	1				
M5	215	100	200	1	30	6	0	0	1	0	0	0	1
M5	240	100	10	1	289	51	4	5	1	1	1	0	4
M5	286	100	1	1	1162	375	24	34	5	2	10	0	17
M5	334	20	5	1	660	296	7	7	6	2	11	1	8
M5	382	20	5	1	906	241	8	12					8
M5	430	20	5	1	5000								
M8	0	100	700	1	943	3	2	1	2	0	0	1	0
M8	0	100	700	2	977	5	1	2	1	3	0	2	0
M8	0	100	700	3	963	8	1	1	4	2	2	1	0
M8	24	100	700	1	1028	4	0	0	1	4	0	5	2
M8	48	100	600	1	1087	10	2	1	5	6	0	9	0
M8	72	100	600	1	1042	5	1	2	8	14	1	10	1
M8	94	100	600	1	1013	6	1	0	3	5	0	5	0
M8	117	100	300	1	1351	15	15	4	4	6	4	7	5
M8	144	100	300	1	236	2	2	2				1	2
M8	165	100	200	1	129	5	1	1	1	1	1		
M8	189	100	20	1	450	11	3	5	1	1	2	4	2
M8	215	100	10	1	400	7	3	0	0	1	1	1	0
M8	240	100	10	1	486	7	1	0	2	1	1	2	
M8	334	20	5	1	2876	127	24	24	11	3	28	4	6
M8	382	20	10	1	1264	109	18	10					17
M8	430	20	10	1	964	260	48	38					24
M8	628	100	5	1	484	235	34	28					19
YPS128	0	100	700	1	1794	34	4	1	1	0	0	1	0
YPS128	0	100	700	2	1760	41	1	1	0	1	1	2	0
YPS128	0	100	700	3	1770	48	6	1	0	0	0	0	0
YPS128	24	100	700	1	1525	44	9	4	1	1	5	1	3
YPS128	48	100	600	1	1731	49	21	6	1	0	2	0	4
YPS128	72	100	600	1	1816	44	10	4	1	0	2	0	4
YPS128	94	100	600	1	1260	32	9	5	1	2	3	0	2
YPS128	117	100	600	1	1759	45	22	10	2	0	5	0	8
YPS128	144	100	600	1	1513	45	33	8	2	1	5	1	9
YPS128	165	100	500	1	1331	38	24	9	7	1	7	2	8
YPS128	189	100	500	1	777	30	31	17	7	1	6	0	8
YPS128	215	100	500	1	177	11	8	6	2	1	4	0	5
YPS128	240	100	500	1	56	9	3	3	0	0	1		
YPS128	286	100	5	1	1303	61	68	62	25	0	47	0	33
