Strain	expt	t 	D1	D2	num	white	black	B0.5	B0.25	B0.125	B0.0625	B2	Btiny	B0.75
M34	M34,030105	0	30	3600		256	0	0	0	0				0
M34	M34,030105	0	30	3600		284	1	0	0	0				0
M34	M34,030105	0	30	3600		251	0	0	0	0				0
M34	M34,100505	0	100	100	1	2660	27	7	1	3	3	2	1	NA
M34	M34,100505	0	100	100	2	2628	22	4	4	3	3	2	1	NA
M34	M34,100505	0	100	100	3	2592	22	3	6	2	2	2	6	NA
M34	M34,041806	0	100	300	1	1533	10	6	0	4	2	2	5	0
M34	M34,041806	0	100	300	2	1601	12	1	3	4	2	0	3	0
M34	M34,041806	0	100	300	3	1606	12	2	2	2	3	0	3	0
M34	M34,050306	0	100	100	1	4934	31	4	3	4	2	1	3	0
M34	M34,050306	0	100	100	2	5093	30	2	3	1	2	1	4	0
M34	M34E9-2,060306	0	100	700	1	143	3							
M34	M34E9-2,060306	0	100	700	2	163	0							
M34	M34E9-1,060306	0	100	700	1	560	6	0	1					
M34	M34E9-1,060306	0	100	700	2	638	2	1	0					
														
M34	M34E9,060906	0	100	300	1	1146	18	2						
M34	M34E9,060906	0	100	300	2	NA	10	1						
M34	M34E9,060906	0	100	150	1		26	1						
M34	M34E9,060906	0	100	150	2		27	3						
M34	M34E9,060906	0	100	60	1		35	15	1					
														
														
101S	101SD7	0	100	300	1	620	1	0	0					
101S	101SD7	0	100	300	2	588	2	1	1					
101S	101SD7	0	100	150	1	1161	1	1	0					
101S	101SD7	0	100	150	2	1278	3	0	0					
101S	101SD7	0	100	60	1	NA	14	2						
M1-2	M1-2E1	0	100	300	1	1545	2							
M1-2	M1-2E1	0	100	300	2	1583	2							
M1-2	M1-2E1	0	100	150	1	NA	6	0	2					
M1-2	M1-2E1	0	100	150	2	NA	6	0	0					
M1-2	M1-2E1	0	100	60	1	NA	7	1.5						
M13	M13A6	0	100	300	1	1163	7	0	1					
M13	M13A6	0	100	300	2	1170	6	0	0					
M13	M13A6	0	100	150	1	NA	10	2	0					
M13	M13A6	0	100	150	2	NA	10	1	0					
M13	M13A6	0	100	60	1	NA	30	0	2					
M14	M14A10	0	100	300	1	773	3	0						
M14	M14A10	0	100	300	2	691	1	0						
M14	M14A10	0	100	150	1	NA	11	1						
M14	M14A10	0	100	150	2	NA	6	1.5						
M14	M14A10	0	100	60	1	NA	21	1						
														
M2-8	M2-8-1	0	100	300	1	1351	5	0						
M2-8	M2-8-1	0	100	300	2	NA	6	0						
M2-8	M2-8-1	0	100	150	1	NA	10	2						
M2-8	M2-8-1	0	100	150	2	NA	6	2						
M2-8	M2-8-1	0	100	60	1	NA	24	5	2					2
M2-8	M2-8-2	0	100	300	1	592	2	0						
M2-8	M2-8-2	0	100	300	2	575	1	0						
M2-8	M2-8-2	0	100	150	1	NA	4	1						
M2-8	M2-8-2	0	100	150	2	NA	NA	NA						
M2-8	M2-8-2	0	100	60	1	NA	13	4	3					
														
M32	M32C5	0	100	300	1	1119	15	4	0					
M32	M32C5	0	100	300	2	1137	10	1	0					
M32	M32C5	0	100	150	1	NA	23	0	2					
M32	M32C5	0	100	150	2	NA	12	2	1					
M32	M32C5	0	100	60	1	NA	45	9	3					1
														
M5	M5E7,060906	0	100	300		2347	7	0	0					
M5	M5E7,060906	0	100	300		NA	8	1.5	0					
M5	M5E7,060906	0	100	150		1720	3	0	1					
M5	M5E7,060906	0	100	150		1665	3	0	0					
M5	M5E7,060906	0	100	60		NA	11	1.5	1					
														
M8	M8E3	0	100	300		1491	11	1.5						
M8	M8E3	0	100	300		1479	5	0						
M8	M8E3	0	100	150			21	1.5	1					
M8	M8E3	0	100	150			16	1	2					
M8	M8E3	0	100	60			43	4	1					1
YPS128	YPS128A4	0	100	300		2061	14	1	1					1.5
YPS128	YPS128A4	0	100	300		2079	11	0	0					
YPS128	YPS128A4	0	100	150			17	0.5	0					
YPS128	YPS128A4	0	100	150			17	4	0					
YPS128	YPS128A4	0	100	60			36	7	0					
														
YPS163	YPS163E5	0	100	300		1529	12	2						
YPS163	YPS163E5	0	100	300		1526	10	0						
YPS163	YPS163E5	0	100	150			20	2	1					
YPS163	YPS163E5	0	100	150			24	3	0					
YPS163	YPS163E5	0	100	60			52	5.5	0					
														
101S	101S053006	0	100	800	1	984	3							
101S	101S053006	0	100	800	2	927	3	0	1					
101S	101S053006	0	100	80	1	NA	24	4	1					
101S	101S053006	0	100	160	1	NA	14	5	3					
M1-2	M1-2,053006	0	100	800	1	1252	0	0						
M1-2	M1-2,053006	0	100	800	2	1325	4	0						
M1-2	M1-2,053006	0	100	80	1	NA	16	1	0					
M1-2	M1-2,053006	0	100	160	1	NA	10	1	0					
M13	M13,053006	0	100	800	1	896	2	0	1					
M13	M13,053006	0	100	800	2	891	2	0	0					
M13	M13,053006	0	100	80	1	NA	9	2	0					1
M13	M13,053006	0	100	160	1	NA	8	0	0					
M14	M14,053006	0	100	160	1	2406	17	2	1					
M14	M14,053006	0	100	160	2	2403	18	2	2					3
M14	M14,053006	0	100	80	1	NA	27	4	1					1
M2-8	M2-8-1,053006	0	100	800	1	924	10							
M2-8	M2-8-1,053006	0	100	800	2	870	4			2				
M2-8	M2-8-1,053006	0	100	80	1	NA	31	3						1
M2-8	M2-8-1,053006	0	100	160	1	NA	22	3	1					
M2-8	M2-8-2,053006	0	100	800	1	933	3	1						
M2-8	M2-8-2,053006	0	100	800	2	991	7	0	0	1				
M2-8	M2-8-2,053006	0	100	80	1	NA	50	5						1
M2-8	M2-8-2,053006	0	100	160	1	NA	28	3	2	2				
M32	M32,053006	0	100	800	1	1373	23	4	2	1	2	1	0	0
M32	M32,053006	0	100	800	2	1313	16	1	0	1	0	0	0	0
M32	M32,053006	0	100	80	1									
M32	M32,053006	0	100	160	1	NA	108	5	3					
M34	M34,053006	0	100	800	1	860	2	1						
M34	M34,053006	0	100	800	2	873	6							
M34	M34,053006	0	100	80	1	NA	28	3						
M34	M34,053006	0	100	160	1	NA	26	5	1					
M5	M5,053006	0	100	800	1	684	2	1						
